	Variable de la estacion MagyaCba La Cumbrecita 
 
Temp	Hume	Pto.Ro	Precipt	Vel.Vie	Raf.Vie	  Pres	Rad.Sol	Temp_S1	Temp_S2	Temp_S3	Hum_S1	Hum_S2	Hum_S3	Hum_Hoja
23.00 	 51.70 	 12.50	 0.00	 6.30	 16.50	 860.00	 777.40	 22.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.30 	 52.90 	 13.20	 0.00	 6.40	 13.80	 861.20	 925.90	 22.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.20 	 50.70 	 12.40	 0.00	 9.60	 18.50	 858.80	 939.40	 22.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.90 	 55.90 	 13.60	 0.00	 10.10	 21.80	 860.60	 736.90	 22.50	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.60 	 57.80 	 13.90	 0.00	 9.00	 20.10	 860.00	 696.40	 22.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.80 	 54.50 	 13.20	 0.00	 8.10	 15.60	 860.00	 904.70	 22.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.00 	 58.20 	 14.30	 0.00	 8.20	 18.70	 861.20	 1016.60	 22.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.00 	 55.40 	 13.60	 0.00	 8.80	 17.80	 860.00	 879.60	 22.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.00 	 55.00 	 13.50	 0.00	 8.80	 19.10	 860.00	 881.60	 23.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.40 	 57.10 	 14.40	 0.00	 8.60	 19.10	 858.80	 1060.90	 23.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.00 	 55.60 	 13.60	 0.00	 9.70	 17.30	 860.60	 590.30	 23.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.30 	 56.50 	 14.20	 0.00	 7.10	 15.60	 860.00	 918.20	 23.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.40 	 57.80 	 14.60	 0.00	 8.50	 20.90	 859.40	 976.10	 23.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.10 	 60.00 	 14.90	 0.00	 8.40	 22.10	 860.00	 781.20	 23.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.90 	 58.20 	 14.30	 0.00	 7.60	 17.60	 861.20	 557.50	 23.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.80 	 60.60 	 14.80	 0.00	 6.80	 13.90	 860.00	 538.20	 23.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.40 	 57.30 	 14.50	 0.00	 6.70	 15.50	 859.40	 985.70	 23.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
24.10 	 55.90 	 14.70	 0.00	 7.10	 10.00	 860.00	 1155.50	 23.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.80 	 56.80 	 14.70	 0.00	 8.00	 20.10	 860.60	 736.90	 23.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.20 	 55.40 	 13.80	 0.00	 9.50	 19.80	 858.80	 432.10	 24.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.20 	 58.60 	 14.60	 0.00	 10.60	 10.60	 858.10	 987.60	 24.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
23.30 	 61.30 	 15.40	 0.00	 10.80	 21.30	 859.40	 1041.70	 24.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
22.60 	 63.60 	 15.30	 0.00	 10.70	 23.70	 859.40	 308.60	 24.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
21.90 	 67.40 	 15.60	 0.00	 10.70	 21.80	 860.00	 233.40	 24.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
21.60 	 66.30 	 15.00	 0.00	 9.10	 15.30	 859.40	 154.30	 24.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
21.50 	 66.70 	 15.00	 0.00	 10.20	 20.80	 858.80	 243.10	 24.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
21.20 	 68.80 	 15.20	 0.00	 10.60	 21.40	 858.10	 164.00	 24.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
20.40 	 70.60 	 14.90	 0.00	 13.70	 23.70	 858.10	 98.40	 24.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
19.90 	 72.40 	 14.80	 0.00	 13.30	 26.40	 857.50	 110.00	 24.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
19.60 	 73.50 	 14.70	 0.00	 12.40	 21.70	 858.80	 90.70	 24.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.90 	 76.80 	 14.70	 0.20	 13.20	 89.90	 858.80	 55.90	 24.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.40 	 79.40 	 14.80	 0.00	 9.60	 27.60	 860.60	 36.70	 24.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
18.00 	 81.70 	 14.80	 0.60	 7.50	 15.30	 860.60	 0.00	 24.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.60 	 72.60 	 12.60	 0.80	 1.40	 10.60	 860.00	 0.00	 24.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.90 	 70.80 	 11.60	 0.20	 0.10	 0.30	 858.10	 57.90	 24.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.30 	 68.90 	 10.60	 0.20	 1.60	 1.60	 858.10	 94.50	 24.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.90 	 69.20 	 10.30	 0.00	 0.10	 4.50	 858.80	 115.70	 24.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.90 	 71.70 	 10.80	 0.00	 0.00	 0.00	 858.80	 115.70	 24.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.10 	 72.30 	 11.10	 0.00	 1.50	 19.50	 858.10	 135.00	 24.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.50 	 74.00 	 11.90	 0.00	 0.00	 0.00	 857.50	 198.70	 24.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.90 	 71.70 	 11.80	 0.00	 0.40	 7.90	 857.50	 191.00	 23.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.20 	 77.80 	 13.30	 0.00	 0.00	 3.10	 857.50	 146.60	 23.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.40 	 75.70 	 13.10	 0.00	 0.00	 4.80	 858.10	 115.70	 23.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.40 	 75.20 	 13.00	 0.00	 0.00	 0.00	 857.50	 82.90	 23.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.20 	 74.80 	 12.70	 0.00	 0.00	 0.00	 857.50	 84.90	 23.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.10 	 76.70 	 13.00	 0.00	 0.00	 0.00	 858.80	 52.10	 23.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.90 	 78.30 	 13.10	 0.00	 0.00	 0.00	 859.40	 0.00	 23.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.90 	 81.70 	 13.80	 0.00	 0.00	 0.00	 857.50	 0.00	 23.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
17.00 	 82.90 	 14.10	 0.00	 0.00	 0.00	 858.80	 0.00	 23.50	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.70 	 83.70 	 13.90	 0.00	 0.00	 0.00	 857.50	 0.00	 23.50	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.50 	 84.10 	 13.80	 0.00	 0.00	 0.00	 856.90	 0.00	 23.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.40 	 84.50 	 13.80	 0.00	 0.00	 0.00	 858.10	 0.00	 23.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.40 	 85.00 	 13.90	 0.00	 0.00	 0.00	 857.50	 0.00	 23.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.30 	 84.60 	 13.70	 0.00	 0.00	 0.00	 857.50	 0.00	 23.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
16.10 	 85.00 	 13.60	 0.00	 0.00	 0.00	 858.80	 0.00	 23.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.90 	 85.40 	 13.50	 0.00	 0.00	 0.00	 858.10	 0.00	 23.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.80 	 85.60 	 13.40	 0.00	 0.00	 0.00	 858.10	 0.00	 23.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.80 	 85.40 	 13.40	 0.00	 0.00	 0.00	 857.50	 0.00	 23.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.80 	 84.90 	 13.30	 0.00	 0.00	 0.00	 857.50	 0.00	 23.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.70 	 85.10 	 13.20	 0.00	 0.00	 0.00	 857.50	 0.00	 23.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.60 	 85.30 	 13.10	 0.00	 0.00	 0.00	 856.90	 0.00	 23.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.60 	 85.60 	 13.20	 0.00	 0.00	 0.00	 858.80	 0.00	 23.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.70 	 85.80 	 13.30	 0.00	 0.00	 0.00	 858.10	 0.00	 23.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.60 	 84.00 	 12.90	 0.00	 0.00	 0.00	 858.10	 0.00	 22.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.60 	 84.50 	 13.00	 0.00	 0.00	 0.00	 860.60	 0.00	 22.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.50 	 84.80 	 13.00	 0.00	 0.00	 0.00	 859.40	 0.00	 22.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.40 	 85.90 	 13.10	 0.00	 0.00	 0.00	 858.80	 0.00	 22.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.30 	 86.10 	 13.00	 0.00	 0.00	 0.00	 860.00	 0.00	 22.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.30 	 86.30 	 13.00	 0.00	 0.00	 0.00	 860.00	 0.00	 22.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.30 	 85.90 	 13.00	 0.00	 0.00	 0.00	 858.80	 0.00	 22.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.10 	 86.40 	 12.80	 0.00	 0.00	 0.00	 858.10	 0.00	 22.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.90 	 85.10 	 12.40	 0.00	 0.00	 0.00	 858.10	 0.00	 22.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.70 	 85.10 	 12.20	 0.00	 0.00	 0.00	 858.10	 0.00	 22.50	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.70 	 83.50 	 11.90	 0.00	 0.00	 0.00	 858.80	 0.00	 22.50	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.00 	 79.70 	 11.50	 0.00	 0.00	 0.00	 858.80	 0.00	 22.50	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.10 	 80.80 	 11.80	 0.00	 0.00	 0.00	 858.80	 0.00	 22.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.00 	 81.10 	 11.80	 0.00	 0.00	 0.00	 860.00	 0.00	 22.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.80 	 79.30 	 11.30	 0.00	 0.00	 0.00	 859.40	 0.00	 22.40	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.80 	 78.90 	 11.20	 0.00	 0.00	 0.00	 860.60	 0.00	 22.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.80 	 78.60 	 11.10	 0.00	 0.00	 0.00	 860.00	 0.00	 22.30	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.80 	 77.30 	 10.90	 0.00	 0.00	 0.00	 858.10	 0.00	 22.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.90 	 75.20 	 10.60	 0.00	 0.00	 0.00	 859.40	 0.00	 22.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.90 	 74.40 	 10.40	 0.00	 0.00	 0.00	 859.40	 0.00	 22.20	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.90 	 73.60 	 10.20	 0.00	 0.00	 0.00	 859.40	 0.00	 22.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
14.90 	 72.90 	 10.10	 0.00	 0.00	 0.00	 858.10	 0.00	 22.10	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.00 	 71.90 	 10.00	 0.00	 0.00	 0.00	 859.40	 0.00	 22.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.20 	 68.70 	 9.50	 0.00	 0.00	 0.00	 860.60	 0.00	 22.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.50 	 68.20 	 9.70	 0.00	 0.00	 0.00	 858.10	 0.00	 22.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.30 	 69.30 	 9.70	 0.00	 0.00	 0.00	 856.90	 0.00	 21.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.20 	 69.80 	 9.70	 0.00	 0.00	 0.00	 859.40	 0.00	 21.90	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.20 	 69.60 	 9.70	 0.00	 0.00	 0.00	 858.10	 0.00	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.10 	 71.70 	 10.00	 0.00	 0.00	 0.00	 858.10	 0.00	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.10 	 69.60 	 9.60	 0.00	 0.00	 0.00	 858.10	 0.00	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.10 	 70.10 	 9.70	 0.00	 0.00	 0.00	 858.10	 0.00	 21.80	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.20 	 67.50 	 9.20	 0.00	 0.00	 0.00	 856.90	 0.00	 21.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.30 	 67.10 	 9.20	 0.00	 0.00	 0.00	 856.90	 0.00	 21.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.50 	 65.40 	 9.00	 0.00	 0.00	 0.00	 858.10	 0.00	 21.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.40 	 67.20 	 9.40	 0.00	 0.00	 0.00	 857.50	 0.00	 21.70	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
15.20 	 68.80 	 9.50	 0.00	 0.00	 0.00	 858.10	 0.00	 21.60	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00
